fecha,maiz_ars,trigo_ars,soja_ars,tipo_cambio_usd,maiz_usd,trigo_usd,soja_usd
2018-07-02,4290.0,5990.0,7990.0,28.3,151.59,211.66,282.33
2018-07-03,4185.0,5920.0,7740.0,27.8,150.54,212.95,278.42
2018-07-04,4200.0,5850.0,7730.0,27.8,151.08,210.43,278.06
2018-07-05,4210.0,5900.0,7800.0,28.05,150.09,210.34,278.07
2018-07-06,4250.0,5820.0,8010.0,27.9,152.33,208.6,287.1
2018-07-10,4160.0,5800.0,7780.0,27.37,151.99,211.91,284.25
2018-07-11,4130.0,5800.0,7720.0,27.39,150.78,211.76,281.85
2018-07-12,4150.0,5720.0,7700.0,27.23,152.41,210.06,282.78
2018-07-13,4140.0,5700.0,7610.0,27.21,152.15,209.48,279.68
2018-07-16,4150.0,5650.0,7710.0,27.36,151.68,206.51,281.8
2018-07-17,4200.0,5660.0,7710.0,27.55,152.45,205.44,279.85
2018-07-18,4250.0,5660.0,7720.0,27.598,154.0,205.09,279.73
2018-07-19,4300.0,5640.0,7700.0,27.75,154.95,203.24,277.48
2018-07-20,4390.0,5680.0,7670.0,27.58,159.17,205.95,278.1
2018-07-23,4390.0,5650.0,7650.0,27.62,158.94,204.56,276.97
2018-07-24,4410.0,5800.0,7650.0,27.48,160.48,211.06,278.38
2018-07-25,4400.0,5750.0,7600.0,27.39,160.64,209.93,277.47
2018-07-26,4425.0,5800.0,7600.0,27.41,161.44,211.6,277.27
2018-07-27,4450.0,5780.0,7600.0,27.325,162.85,211.53,278.13
2018-07-30,4500.0,5800.0,7620.0,27.255,165.11,212.8,279.58
2018-07-31,4500.0,5795.0,7720.0,27.41,164.17,211.42,281.65
2018-08-01,4550.0,5950.0,7600.0,27.525,165.3,216.17,276.11
2018-08-06,4450.0,6000.0,7220.0,27.33,162.82,219.54,264.18
2018-08-07,4400.0,6000.0,7300.0,27.395,160.61,219.02,266.47
2018-08-08,4460.0,6040.0,7500.0,27.65,161.3,218.44,271.25
2018-08-09,4400.0,6100.0,7605.0,28.11,156.53,217.0,270.54
2018-08-10,4450.0,6400.0,7605.0,29.25,152.14,218.8,260.0
2018-08-13,4480.0,6450.0,8000.0,29.925,149.71,215.54,267.34
2018-08-14,4490.0,6450.0,7700.0,29.61,151.64,217.83,260.05
2018-08-15,4610.0,6500.0,7800.0,30.0,153.67,216.67,260.0
2018-08-16,4600.0,6510.0,8000.0,29.8,154.36,218.46,268.46
2018-08-17,4630.0,6510.0,7900.0,29.85,155.11,218.09,264.66
2018-08-21,4605.0,6500.0,7900.0,30.0,153.5,216.67,263.33
2018-08-22,4600.0,6500.0,7900.0,30.25,152.07,214.88,261.16
2018-08-23,4600.0,6550.0,7720.0,30.49,150.87,214.82,253.2
2018-08-24,4560.0,6550.0,7930.0,30.9,147.57,211.97,256.63
2018-08-27,4475.0,6600.0,7820.0,30.97,144.49,213.11,252.5
2018-08-28,4550.0,6700.0,7900.0,31.35,145.14,213.72,251.99
2018-08-29,4820.0,7010.0,8270.0,33.8,142.6,207.4,244.67
2018-08-30,5400.0,8000.0,9000.0,37.6,143.62,212.77,239.36
2018-08-31,5000.0,7050.0,9000.0,36.85,135.69,191.32,244.23
2018-09-04,5000.0,7700.0,9120.0,38.88,128.6,198.05,234.57
2018-09-05,5000.0,8000.0,9150.0,38.4,130.21,208.33,238.28
2018-09-07,5050.0,7400.0,9210.0,36.99,136.52,200.05,248.99
2018-09-10,5100.0,7370.0,9320.0,37.38,136.44,197.16,249.33
2018-09-11,5180.0,7800.0,9510.0,37.941,136.53,205.58,250.65
2018-09-12,5140.0,7870.0,9500.0,38.25,134.38,205.75,248.37
2018-09-13,5290.0,7920.0,9720.0,39.55,133.75,200.25,245.76
2018-09-14,5350.0,7970.0,9750.0,39.86,134.22,199.95,244.61
2018-09-17,5250.0,7980.0,9550.0,39.53,132.81,201.87,241.59
2018-09-18,5330.0,8010.0,9580.0,39.731,134.15,201.61,241.12
2018-09-19,5300.0,8100.0,9740.0,39.21,135.17,206.58,248.41
2018-09-24,5100.0,8000.0,9250.0,37.3,136.73,214.48,247.99
2018-09-26,5300.0,8330.0,9800.0,38.51,137.63,216.31,254.48
2018-09-27,5460.0,8400.0,10015.0,39.7,137.53,211.59,252.27
2018-09-28,5650.0,8600.0,10560.0,41.25,136.97,208.48,256.0
2018-10-01,5520.0,8650.0,10150.0,39.55,139.57,218.71,256.64
2018-10-03,5120.0,8250.0,9720.0,37.69,135.85,218.89,257.89
2018-10-04,5230.0,8400.0,10170.0,38.3,136.55,219.32,265.54
2018-10-05,5170.0,8400.0,10110.0,37.84,136.63,221.99,267.18
2018-10-09,5000.0,8450.0,9650.0,37.12,134.7,227.64,259.97
2018-10-11,4900.0,8500.0,9340.0,36.57,133.99,232.43,255.4
2018-10-17,4860.0,8640.0,9410.0,36.18,134.33,238.81,260.09
2018-10-23,4700.0,6800.0,9130.0,36.59,128.45,185.84,249.52
2018-10-24,4710.0,6750.0,9100.0,37.0,127.3,182.43,245.95
2018-10-25,4700.0,6650.0,8850.0,36.79,127.75,180.76,240.55
2018-10-26,4740.0,6600.0,9020.0,36.84,128.66,179.15,244.84
2018-10-29,4690.0,6600.0,9050.0,36.9,127.1,178.86,245.26
2018-10-30,4680.0,6560.0,9050.0,36.715,127.47,178.67,246.49
2018-10-31,4650.0,6320.0,8750.0,35.95,129.35,175.8,243.39
2018-11-01,4670.0,6385.0,9050.0,35.67,130.92,179.0,253.71
2018-11-02,4700.0,6350.0,9050.0,35.49,132.43,178.92,255.0
2018-11-05,4690.0,6200.0,8840.0,35.65,131.56,173.91,247.97
2018-11-06,4700.0,6200.0,8800.0,35.65,131.84,173.91,246.84
2018-11-07,4700.0,6200.0,8820.0,35.67,131.76,173.82,247.27
2018-11-08,4710.0,6200.0,8720.0,35.5,132.68,174.65,245.63
2018-11-09,4650.0,6170.0,8700.0,35.38,131.43,174.39,245.9
2018-11-12,4660.0,6200.0,8660.0,35.38,131.71,175.24,244.77
2018-11-13,4700.0,6300.0,8900.0,36.05,130.37,174.76,246.88
2018-11-14,4730.0,6300.0,8870.0,35.9,131.75,175.49,247.08
2018-11-15,4750.0,6380.0,8900.0,36.05,131.76,176.98,246.88
2018-11-20,4740.0,6140.0,8850.0,36.18,131.01,169.71,244.61
2018-11-21,4740.0,6220.0,8900.0,36.255,130.74,171.56,245.48
2018-11-22,4760.0,6290.0,8830.0,36.255,131.29,173.49,243.55
2018-11-23,4800.0,6600.0,9000.0,37.5,128.0,176.0,240.0
2018-11-26,4990.0,7000.0,9200.0,39.05,127.78,179.26,235.6
2018-11-27,5050.0,7030.0,9230.0,38.55,131.0,182.36,239.43
2018-11-28,5180.0,7000.0,9400.0,38.46,134.69,182.01,244.41
2018-11-29,5150.0,6770.0,9200.0,37.72,136.53,179.48,243.9
2018-11-30,5180.0,6600.0,9230.0,37.72,137.33,174.97,244.7
2018-12-03,5160.0,6360.0,9070.0,36.5,141.37,174.25,248.49
2018-12-04,5180.0,6585.0,9200.0,37.4,138.5,176.07,245.99
2018-12-05,5300.0,6870.0,9230.0,37.45,141.52,183.44,246.46
2018-12-06,5350.0,7050.0,9160.0,37.7,141.91,187.0,242.97
2018-12-07,5350.0,7180.0,9020.0,37.4,143.05,191.98,241.18
2018-12-10,5400.0,7480.0,9150.0,37.66,143.39,198.62,242.96
2018-12-11,5470.0,7470.0,9100.0,37.8,144.71,197.62,240.74
2018-12-12,5520.0,7480.0,9120.0,37.59,146.85,198.99,242.62
2018-12-13,5600.0,7690.0,9050.0,37.83,148.03,203.28,239.23
2018-12-17,5600.0,8100.0,9080.0,38.26,146.37,211.71,237.32
2018-12-18,5690.0,7750.0,9130.0,38.26,148.72,202.56,238.63
2018-12-19,5700.0,7750.0,9120.0,38.37,148.55,201.98,237.69
2018-12-20,5550.0,7700.0,9020.0,38.05,145.86,202.37,237.06
2018-12-21,5500.0,7740.0,8990.0,37.975,144.83,203.82,236.73
2018-12-24,5500.0,7740.0,8990.0,37.975,144.83,203.82,236.73
2018-12-26,5480.0,7840.0,8960.0,38.6,141.97,203.11,232.12
2018-12-27,5495.0,7810.0,9000.0,38.3,143.47,203.92,234.99
2018-12-28,5400.0,7725.0,9020.0,37.7,143.24,204.91,239.26
2019-01-02,5490.0,7650.0,9180.0,37.65,145.82,203.19,243.82
2019-01-03,5490.0,7710.0,9200.0,37.45,146.6,205.87,245.66
2019-01-04,5450.0,7620.0,9280.0,37.37,145.84,203.91,248.33
2019-01-07,5480.0,7570.0,9230.0,37.305,146.9,202.92,247.42
2019-01-08,5550.0,7500.0,9220.0,37.6,147.61,199.47,245.21
2019-01-09,5550.0,7510.0,9295.0,37.37,148.51,200.96,248.73
2019-01-10,5550.0,7300.0,9050.0,37.08,149.68,196.87,244.07
2019-01-11,5580.0,7350.0,9050.0,36.9,151.22,199.19,245.26
2019-01-14,5595.0,7350.0,8970.0,37.0,151.22,198.65,242.43
2019-01-15,5530.0,7430.0,8920.0,37.1,149.06,200.27,240.43
2019-01-16,5400.0,7530.0,9100.0,37.5,144.0,200.8,242.67
2019-01-17,5560.0,7650.0,9300.0,37.71,147.44,202.86,246.62
2019-01-18,5560.0,7690.0,9390.0,37.58,147.95,204.63,249.87
2019-01-21,5540.0,7730.0,9380.0,37.58,147.42,205.69,249.6
2019-01-22,5530.0,7710.0,9310.0,37.53,147.35,205.44,248.07
2019-01-23,5545.0,7735.0,9365.0,37.56,147.63,205.94,249.33
2019-01-24,5600.0,7810.0,9330.0,37.4,149.73,208.82,249.47
2019-01-25,5580.0,7735.0,9280.0,37.03,150.69,208.88,250.61
2019-01-28,5580.0,7770.0,9310.0,37.15,150.2,209.15,250.61
2019-01-29,5600.0,7900.0,9410.0,37.7,148.54,209.55,249.6
2019-01-30,5670.0,7910.0,9460.0,37.51,151.16,210.88,252.2
2019-01-31,5580.0,7820.0,9350.0,37.35,149.4,209.37,250.33
2019-02-01,5550.0,7765.0,9390.0,37.17,149.31,208.91,252.62
2019-02-04,5500.0,7790.0,9270.0,37.19,147.89,209.46,249.26
2019-02-05,5390.0,7780.0,9240.0,37.2,144.89,209.14,248.39
2019-02-06,5500.0,7780.0,9310.0,37.52,146.59,207.36,248.13
2019-02-07,5580.0,7750.0,9280.0,37.82,147.54,204.92,245.37
2019-02-08,5400.0,7720.0,9250.0,37.85,142.67,203.96,244.39
2019-02-11,5350.0,7545.0,9170.0,37.91,141.12,199.02,241.89
2019-02-12,5250.0,7560.0,9250.0,37.99,138.19,199.0,243.49
2019-02-13,5250.0,7530.0,9250.0,38.22,137.36,197.02,242.02
2019-02-14,5310.0,7440.0,9170.0,38.22,138.93,194.66,239.93
2019-02-15,5390.0,7490.0,9270.0,38.62,139.56,193.94,240.03
2019-02-18,5290.0,7200.0,9270.0,38.62,136.98,186.43,240.03
2019-02-19,5300.0,7330.0,9330.0,39.27,134.96,186.66,237.59
2019-02-20,5420.0,7300.0,9490.0,39.67,136.63,184.02,239.22
2019-02-22,5425.0,7220.0,9400.0,39.22,138.32,184.09,239.67
2019-02-25,5350.0,7340.0,9380.0,39.049,137.01,187.97,240.21
2019-02-26,5430.0,7250.0,9230.0,38.87,139.7,186.52,237.46
2019-02-27,5405.0,7180.0,9160.0,38.82,139.23,184.96,235.96
2019-02-28,5260.0,7020.0,9205.0,39.15,134.36,179.31,235.12
2019-03-01,5350.0,7020.0,9200.0,39.81,134.39,176.34,231.1
2019-03-06,5500.0,7300.0,9400.0,40.75,134.97,179.14,230.67
2019-03-07,5680.0,7420.0,9730.0,42.5,133.65,174.59,228.94
2019-03-08,5580.0,7175.0,9520.0,41.2,135.44,174.15,231.07
