fecha,trigo,maiz,sorgo,girasol,soja
02/01/2020,1037000,834000,770000,1371000,1536000
03/01/2020,1050000,834600,770000,1371000,1510000
06/01/2020,1055000,850000,770000,1371000,1540000
07/01/2020,1055000,864000,770000,1371000,1520000
08/01/2020,1060000,870000,770000,1389000,1520000
09/01/2020,1073000,894000,770000,1389000,1538000
10/01/2020,1079000,900000,770000,1401000,1550000
13/01/2020,1135000,920000,770000,1434000,1553500
14/01/2020,1155000,922000,780000,1437000,1560000
15/01/2020,1159000,934000,780000,1434000,1555000
16/01/2020,1155000,927000,780000,1434600,1550000
20/01/2020,1150000,939000,790000,1450000,1555000
21/01/2020,1190000,958000,800000,1467500,1540000
22/01/2020,1200000,958000,810000,1496000,1545000
23/01/2020,1220000,958000,810000,1440000,1557000
24/01/2020,1230000,930000,810000,1468000,1530000
27/01/2020,1210000,906000,810000,1475000,1525000
28/01/2020,1220000,910000,810000,1475000,1529500
29/01/2020,1218500,906500,810000,1500000,1510000
30/01/2020,1200000,900800,810000,1470000,1501000
31/01/2020,1185000,910000,810000,1473000,1480000
03/02/2020,1185000,914000,810000,1480000,1479000
04/02/2020,1200000,905700,815000,1490000,1479300
05/02/2020,1200000,905500,810000,1480000,1490000
06/02/2020,1202000,907000,810000,1482000,1495000
07/02/2020,1190000,909000,815000,1485000,1510000
10/02/2020,1200000,918000,815000,1490000,1510000
11/02/2020,1204000,922000,820000,1492500,1495000
12/02/2020,1202000,938000,820000,1495000,1515000
13/02/2020,1200000,930000,820000,1500000,1517500
14/02/2020,1207000,907000,820000,1500000,1513000
17/02/2020,1195000,897000,820000,1506000,1515000
18/02/2020,1192000,873000,820000,1500000,1530000
19/02/2020,1190000,861500,820000,1507500,1505000
20/02/2020,1201000,862000,820000,1480000,1478000
21/02/2020,1193000,850000,820000,1480000,1450500
26/02/2020,1200000,817000,820000,1485000,1350000
27/02/2020,1205000,805000,820000,1486500,1352000
28/02/2020,1221500,809000,820000,1488000,1370000
02/03/2020,1240000,813000,810000,1420000,1370000
04/03/2020,1212000,845000,808000,1390000,1436000
05/03/2020,1220000,835000,810000,1430000,1430000
06/03/2020,1215000,830000,810000,1432500,1420000
09/03/2020,1215000,816500,815000,1402500,1384000
10/03/2020,1205000,842000,815000,1390000,1384000
11/03/2020,1212000,872000,815000,1387000,1385000
12/03/2020,1200000,852000,815000,1390000,1378000
13/03/2020,1195000,860000,796500,1390000,1379000
16/03/2020,1194000,848000,798000,1382000,1349000
17/03/2020,1190000,850000,800000,1385000,1354000
18/03/2020,1190000,820500,800000,1385000,1385000
19/03/2020,1204000,850000,792000,1387000,1393000
20/03/2020,1208000,875000,800000,1400000,1345000
25/03/2020,1225000,916000,850000,1417000,1402000
26/03/2020,1240000,941000,832000,1434000,1415000
30/03/2020,1253000,920000,867600,1452500,1427000
01/04/2020,1265000,902000,868500,1454000,1370000
02/04/2020,1269000,930000,871000,1480000,1374000
03/04/2020,1262000,925000,900000,1488000,1380000
06/04/2020,1263500,895000,900000,1490000,1350000
07/04/2020,1265000,876000,900000,1524500,1362500
09/04/2020,1285000,890000,877000,1546000,1350000
13/04/2020,1271000,858000,912500,1564000,1336000
14/04/2020,1273000,860000,910000,1567000,1365000
15/04/2020,1276000,850000,916000,1570000,1373800
16/04/2020,1278000,845000,917500,1573000,1376300
17/04/2020,1280000,822000,886500,1576000,1390000
20/04/2020,1290000,803000,888000,1579000,1358000
21/04/2020,1300000,785000,882000,1581000,1361000
22/04/2020,1305000,792500,890000,1585000,1370000
23/04/2020,1290000,795000,880000,1587000,1362500
24/04/2020,1291500,788000,880000,1589500,1367000
27/04/2020,1280000,795000,895500,1600000,1360000
28/04/2020,1275500,796000,897000,1600000,1365000
29/04/2020,1270000,798600,898000,1600000,1371000
30/04/2020,1266000,810000,890000,1600000,1399500
04/05/2020,1260000,810000,893500,1601500,1380000
05/05/2020,1245000,815000,900000,1603000,1415000
06/05/2020,1245000,803000,900000,1606000,1400000
07/05/2020,1240000,814000,900000,1608000,1417000
08/05/2020,1240000,815000,900000,1610000,1441000
12/05/2020,1211000,821000,908000,1615000,1460000
13/05/2020,1212000,821500,910000,1630000,1465000
14/05/2020,1190000,814000,915000,1640000,1463000
15/05/2020,1170000,820000,910000,1650000,1465000
18/05/2020,1150000,804000,912500,1657000,1463000
19/05/2020,1151000,799000,906000,1659000,1465000
20/05/2020,1147000,791700,908000,1661000,1490000
21/05/2020,1154000,775000,910000,1663000,1460000
22/05/2020,1150000,776000,918000,1665500,1470000
26/05/2020,1170000,769000,919000,1668000,1477000
27/05/2020,1172000,772500,920000,1670500,1480000
28/05/2020,1180000,798500,920000,1672000,1475000
29/05/2020,1190000,807000,922500,1675000,1477000
01/06/2020,1198000,800000,924000,1676500,1493000
02/06/2020,1198000,808000,925000,1678500,1505000
03/06/2020,1200000,817000,926000,1681000,1512000
04/06/2020,1210000,830000,930000,1683000,1536000
05/06/2020,1225000,840000,930000,1685000,1525000
08/06/2020,1225000,845000,964300,1684000,1525000
09/06/2020,1235000,857000,965500,1696000,1525000
10/06/2020,1243000,877000,967000,1699000,1530000
11/06/2020,1244000,868000,967000,1699000,1533000
12/06/2020,1245000,870000,968000,1700000,1535000
16/06/2020,1249500,870000,970000,1701000,1530000
17/06/2020,1245000,851000,1000000,1702000,1540000
18/06/2020,1245000,870000,1010000,1720000,1550000
22/06/2020,1250000,850000,1010000,1723000,1570000
23/06/2020,1250000,855000,1012500,1746000,1575000
24/06/2020,1280000,865000,1013500,1748000,1560000
25/06/2020,1290000,860000,1015000,1749000,1550000
29/06/2020,1298000,870000,1018000,1760000,1534000
30/06/2020,1298000,895000,1033000,1791500,1562000
01/07/2020,1315000,914000,1005000,1793000,1590000
02/07/2020,1315000,895000,1055000,1795000,1600000
03/07/2020,1320000,873500,1056000,1845000,1600000
06/07/2020,1335000,890000,1060000,1845000,1602000
07/07/2020,1350000,884000,1060000,1845000,1625000
08/07/2020,1358000,895000,1060000,1846500,1634000
13/07/2020,1385000,888000,1060000,1854000,1605500
14/07/2020,1386400,892000,1066500,1856000,1635000
15/07/2020,1400000,909000,1067400,1857500,1640000
16/07/2020,1400000,926000,1068000,1859000,1670000
17/07/2020,1410000,934000,1069000,1890000,1680000
20/07/2020,1400000,936000,1072000,1893000,1685000
21/07/2020,1400000,937000,1073000,1895000,1695000
22/07/2020,1400000,945000,1074000,1905000,1704000
23/07/2020,1395000,990000,1075000,1913000,1727000
24/07/2020,1395000,990000,1090000,1922000,1730000
27/07/2020,1370000,978000,1078000,1940000,1732000
28/07/2020,1360000,935000,1079000,1942000,1720000
29/07/2020,1368000,940000,1080000,1944000,1727000
30/07/2020,1369000,958000,1116000,1945000,1725000
31/07/2020,1380000,974000,1115000,1947000,1735000
03/08/2020,1374000,942500,1121000,1952000,1735000
04/08/2020,1375000,948000,1143000,1954000,1722500
05/08/2020,1376000,941000,1122500,1955000,1730000
06/08/2020,1370000,950000,1124000,1957000,1739000
07/08/2020,1340000,940000,1125000,1959000,1734000
10/08/2020,1340000,975000,1127000,1964500,1750000
11/08/2020,1360000,985000,1129000,1965000,1740000
12/08/2020,1360000,1010000,1129000,1967000,1751000
13/08/2020,1360000,1025000,1130000,1969000,1785000
14/08/2020,1357000,1021400,1167300,1970000,1776000
18/08/2020,1365000,1038000,1171200,1976000,1800000
19/08/2020,1370000,1045000,1172500,1980000,1800000
20/08/2020,1375000,1060000,1173000,1980000,1791000
21/08/2020,1390000,1064000,1174000,1981500,1783000
24/08/2020,1410000,1070000,1170000,1985000,1797000
25/08/2020,1410000,1104000,1175000,1987500,1830000
26/08/2020,1420000,1105000,1179000,1989000,1840000
27/08/2020,1430000,1110000,1180000,2000000,1860000
28/08/2020,1431000,1122000,1181000,2002000,1880000
31/08/2020,1434000,1125000,1191000,2007000,1900000
01/09/2020,1444000,1133000,1191000,2005000,1905000
02/09/2020,1450000,1126000,1186000,2030000,1912000
03/09/2020,1460000,1124000,1187000,2040000,1914000
04/09/2020,1450000,1150500,1200000,2004400,1923000
07/09/2020,1460000,1135000,1200000,2025000,1930000
08/09/2020,1470000,1140000,1229000,2086000,1938000
09/09/2020,1475000,1141000,1230000,2088000,1955000
10/09/2020,1471000,1167000,1306000,2090000,1965000
11/09/2020,1471000,1190000,1345000,2092000,2002000
14/09/2020,1471000,1190000,1345000,2098000,2012000
15/09/2020,1471000,1200000,1425000,2100000,2018000
