fecha,trigo,maiz,sorgo,girasol,soja,tipo_cambio_bna_vendedor,trigo_usd,maiz_usd,sorgo_usd,girasol_usd,soja_usd
2020-01-02,1037000,834000,770000,1371000,1536000,59.815,17336.78843099557,13942.9908885731,12873.025160912815,22920.67207222269,25679.177463846863
2020-01-03,1050000,834600,770000,1371000,1510000,59.815,17554.125219426565,13953.021817269917,12873.025160912815,22920.67207222269,25244.503886984872
2020-01-06,1055000,850000,770000,1371000,1540000,59.815,17637.716291900026,14210.482320488172,12873.025160912815,22920.67207222269,25746.05032182563
2020-01-07,1055000,864000,770000,1371000,1520000,59.815,17637.716291900026,14444.53732341386,12873.025160912815,22920.67207222269,25411.68603193179
2020-01-08,1060000,870000,770000,1389000,1520000,59.815,17721.307364373486,14544.846610382012,12873.025160912815,23221.59993312714,25411.68603193179
2020-01-09,1073000,894000,770000,1389000,1538000,59.815,17938.64415280448,14946.08375825462,12873.025160912815,23221.59993312714,25712.613892836245
2020-01-10,1079000,900000,770000,1401000,1550000,59.816,18038.651865721546,15046.141500601845,12872.809950514911,23421.82693593687,25912.79925103651
2020-01-13,1135000,920000,770000,1434000,1553500,59.95,18932.443703085904,15346.121768140116,12844.036697247706,23919.93327773144,25913.261050875728
2020-01-14,1155000,922000,780000,1437000,1560000,60.06,19230.76923076923,15351.31535131535,12987.012987012986,23926.073926073925,25974.02597402597
2020-01-15,1159000,934000,780000,1434000,1555000,59.95,19332.77731442869,15579.649708090074,13010.842368640533,23919.93327773144,25938.281901584654
2020-01-16,1155000,927000,780000,1434600,1550000,59.975,19258.02417674031,15456.440183409753,13005.418924551896,23919.96665277199,25844.101709045433
2020-01-20,1150000,939000,790000,1450000,1555000,60.005,19165.069577535203,15648.695942004832,13165.56953587201,24164.652945587866,25914.5071244063
2020-01-21,1190000,958000,800000,1467500,1540000,60.1,19800.332778702163,15940.099833610648,13311.148086522462,24417.63727121464,25623.96006655574
2020-01-22,1200000,958000,810000,1496000,1545000,60.07,19976.69385716664,15948.060595971367,13484.26835358748,24904.27834193441,25719.993341102047
2020-01-23,1220000,958000,810000,1440000,1557000,60.08,20306.25832223702,15945.406125166444,13482.02396804261,23968.042609853528,25915.446071904127
2020-01-24,1230000,930000,810000,1468000,1530000,60.091,20468.955417616613,15476.527266978415,13479.556006723136,24429.615083789584,25461.383568254812
2020-01-27,1210000,906000,810000,1475000,1525000,60.17,20109.689213893966,15057.337543626392,13461.858068805052,24513.877347515372,25344.856240651487
2020-01-28,1220000,910000,810000,1475000,1529500,60.18,20272.515785975407,15121.302758391492,13459.621136590229,24509.803921568626,25415.420405450317
2020-01-29,1218500,906500,810000,1500000,1510000,60.23,20230.782002324424,15050.639216337375,13448.44761746638,24904.53262493774,25070.562842437324
2020-01-30,1200000,900800,810000,1470000,1501000,60.25,19917.01244813278,14951.03734439834,13443.983402489626,24398.340248962657,24912.86307053942
